wavelength(nm),countrate,irradiance (watts/m^2)
175.00923865626717,91522.23248397122,0.001038824835973559
175.04370914022365,96854.93257263041,0.0010991372592437242
175.07817887452865,102551.0397724342,0.0011635491731766447
175.1126478590345,106465.10830597719,0.0012077206152662035
175.14711609359358,110656.22381741094,0.0012550168283188643
175.18158357805825,111365.55437408361,0.0012628132491605101
175.2160503122809,108711.12835400635,0.0012324712904855106
175.250516296114,106019.63800404113,0.0012017211515602906
175.2849815294099,105464.55192081229,0.0011951942606439347
175.31944601202096,106135.85794483783,0.001202565497726653
175.35390974379965,107181.84087805159,0.0012141782606851239
175.38837272459833,106355.95430174726,0.0012045857033204704
175.42283495426935,108148.3997704295,0.0012246462778489268
175.45729643266523,113569.36491512085,0.0012857793849220494
175.49175715963833,120489.58174772431,0.001363858983553094
175.52621713504107,125011.57263331134,0.0014147669953206853
175.56067635872589,123891.45995590577,0.0014018153776103781
175.5951348305452,115176.9831944823,0.001302956493068288
175.62959255035136,110627.28163599307,0.0012512417916965455
175.66404951799692,110814.15226517555,0.0012531095293334513
175.69850573333426,113849.03428851992,0.0012871761302856782
175.73296119621577,117375.1589264689,0.0013267822734301788
175.76741590649397,119662.19242773236,0.001352369233925953
175.80186986402117,117076.82362307762,0.001322891224517858
175.83632306865,116410.55762234196,0.0013151051252680694
175.8707755202328,120422.22425483497,0.0013601589396140751
175.905227218622,124596.36763317438,0.001407029913490556
175.93967816367012,124208.42009688033,0.001402374282494829
175.9741283552296,120386.4835641105,0.0013589566422920795
176.0085777931529,119471.99513624598,0.0013483696759874586
176.04302647729244,120442.013890016,0.0013590513828557953
176.07747440750074,123225.11502995377,0.0013901834896558898
176.11192158363028,126599.74194066934,0.0014279755090948138
176.1463680055335,126500.48058159431,0.0014265768657512501
176.1808136730629,130177.69386081456,0.0014677586772168772
176.21525858607095,140897.98914226817,0.0015883199023668858
176.2497027444101,137535.6808465857,0.0015501141576924993
176.28414614793292,121454.19342261304,0.0013685981610441808
176.3185887964918,107766.5042599402,0.001214122167432187
176.35303068993932,109765.3020877585,0.0012363995654168128
176.38747182812799,114761.89986990415,0.0012924289817050467
176.4219122109102,115087.43202390139,0.001295842050896274
176.45635183813857,124601.01264830038,0.0014026876399056529
176.49079070966553,125174.35541731826,0.0014088670404553403
176.52522882534365,113113.72985717983,0.0012728734690699672
176.55966618502538,109459.35081182446,0.0012315103421511248
176.59410278856325,102489.72137950832,0.0011528712533371357
176.62853863580986,96604.11552450461,0.001086454260176931
176.6629737266176,109439.1406613969,0.0012305629411851074
176.6974080608391,136978.9140404232,0.0015399273564942603
176.73184163832687,156530.8578844877,0.001759388936711275
176.76627445893342,159769.66671163897,0.0017954429696963666
176.80070652251126,150725.6622840828,0.0016934793253442157
176.83513782891302,139881.04436403705,0.0015713285275745202
176.86956837799116,133779.28394893106,0.0015024929587846526
176.90399816959828,131410.1031866303,0.0014755971312914967
176.93842720358683,128029.75756804782,0.0014373596695218525
176.97285547980954,126944.20905252811,0.0014248952213872124
177.00728299811877,137235.97590527794,0.0015401163574110491
177.04170975836726,155085.14952497894,0.0017400884019564153
177.07613576040745,144390.28617751764,0.0016197747903841497
177.1105610040919,139467.7573507975,0.0015642496019101966
177.14498548927324,157007.91266283713,0.0017606351626989884
177.17940921580404,169705.4129045128,0.0019026510269091388
177.21383218353682,157450.64433235137,0.0017649138834605362
177.24825439232416,156802.90209242515,0.001757311794429079
177.28267584201876,177043.64068445607,0.0019837673033619896
177.31709653247304,186626.608211357,0.0020907381606981644
177.35151646353972,182332.31698000635,0.0020422337017901066
177.38593563507132,169151.45792895823,0.0018942323821711992
177.42035404692044,161881.70570664105,0.001812470825169173
177.4547716989397,160574.18079335618,0.0017974827344886372
177.4891885909817,141246.77269247887,0.0015808232834805546
177.52360472289902,116287.09446540118,0.0013012241227373471
177.5580200945443,109708.50343930167,0.001227373356376102
177.5924347057701,121103.34402605808,0.001354591570122915
177.62684855642914,130794.83894350515,0.0014627115513491194
177.66126164637387,136614.67791456875,0.0015275003380015686
177.69567397545705,132712.0810284036,0.0014835777066411287
177.73008554353132,131537.19199879048,0.0014701590135192102
177.76449635044915,140634.7636001027,0.00157153607613682
177.79890639606336,138368.64252898743,0.0015459138541564508
177.8333156802264,141310.5232557705,0.0015784763268245348
177.86772420279107,145782.88336508488,0.0016281187643968345
177.90213196360992,154164.63364975795,0.0017213940476497318
177.93653896253556,169284.07030747182,0.0018898513631274846
177.97094519942075,166318.1724340814,0.0018563817555203718
178.0053506741181,158122.50089451595,0.001764563582724527
178.03975538648018,163520.92461367,0.0018244545108361578
178.07415933635977,175830.45970657672,0.0019614168556126364
178.1085625236094,177560.56172139605,0.0019803338275979025
178.14296430199187,171088.218315705,0.001907779260680396
178.17736529027397,155127.27145832183,0.0017294671421575318
178.21176551522424,144077.66474702116,0.0016059683509941569
178.24616497669535,146578.09966090228,0.0016335242520998177
178.28056367454008,150608.2762154603,0.0016781142822668593
178.314961608611,150585.8407258206,0.0016775406313232206
178.34935877876086,158425.9059300766,0.001764539323873962
178.38375518484233,170077.4691615428,0.0018939485497837672
178.41815082670817,167369.68086157643,0.0018634358584993828
178.452545704211,161362.32215269,0.0017962057476827453
178.4869398172036,161320.1512222225,0.0017953902865269918
178.52133316553858,164193.34596774238,0.001827015054927489
178.55572574906878,162236.90831268058,0.0018048976297606227
178.59011756764681,164010.50280895358,0.0018242776238291411
178.62450862112544,171559.72568366132,0.0019078797144798415
178.6588989093573,169467.05358916154,0.001884244776574777
178.69328843219526,156517.14710637945,0.0017399243919844758
178.72767718949197,156853.91648652876,0.001743332595198455
178.76206518110016,163706.13523246555,0.0018191406847296446
178.79645240687256,166181.11009258762,0.001846288023842428
178.8308388666619,164453.02343811493,0.001826737494380388
178.86522456032097,159719.208520193,0.0017738134010120501
178.89960948770246,169287.23691090362,0.0018797128845458335
178.93399364865914,187505.59008089104,0.002081603737836433
178.96837704304374,191730.5257778261,0.002128098167816067
179.00275967070903,180889.24747251783,0.00200738058705144
179.03714153150779,169065.3477486701,0.0018758070384332335
179.07152262529277,177501.48764500202,0.0019690292389153534
179.1059029519167,190115.55588593616,0.002108552644484018
179.1402825112324,187533.52280281612,0.0020795164081343987
179.1746613030926,184367.71022164467,0.0020440191678917407
179.2090393273501,181813.69502029437,0.0020153170341624957
179.2434165838576,170858.81583419204,0.0018935242567391546
179.27779307246792,154374.99759872243,0.0017105160785905792
179.31216879303392,146421.9412692754,0.0016220830695878746
179.34654374540833,145565.91571646073,0.0016122908134576733
179.38091792944394,144860.06206545042,0.0016041653052596204
179.4152913449935,143591.4285849166,0.0015898119459533983
179.4496639919099,139556.19360631666,0.001544838770917179
179.48403587004586,151770.96768128377,0.001679730356711941
179.51840697925425,155699.94510955267,0.0017228845167051913
179.55277731938776,152576.94579083502,0.0016880040501600865
179.5871468902993,164385.82465766623,0.0018183011280943982
179.62151569184164,169213.85510775997,0.0018713467077342682
179.65588372386767,166188.19857547426,0.0018375341949721789
179.69025098623015,162583.44443982374,0.0017973327968877476
179.72461747878185,155156.73092260424,0.0017149037382581775
179.75898320137574,163109.8502715343,0.0018024626764138922
179.79334815386454,168763.53904424945,0.0018645829062641775
179.82771233610106,171581.20404927927,0.001895351598961625
179.86207574793818,170204.16186501711,0.0018797810555964784
179.89643838922876,166175.40667488473,0.0018349358231352854
179.93080025982565,173777.6371444536,0.0019185144325255031
179.96516135958166,177478.26890114526,0.0019589954992920533
