wavelength(nm),countrate,irradiance (watts/m^2)
174.97532959815968,92570.67191785379,0.0010509287912236834
175.00980094237246,92284.2679225553,0.0010474709682618917
175.00980094237246,92087.20400403164,0.0010452341977029195
175.04427153707897,96434.0393133438,0.0010943573270470403
175.07874138213154,102143.83488068676,0.0011589252828157516
175.11321047738258,106373.75068632778,0.0012066803942887725
175.14767882268444,110523.28594021182,0.0012535050748742067
175.1821464178895,111649.00195326535,0.0012660232935057896
175.2166132628501,109428.77992140972,0.0012406034077043718
175.25107935741875,106210.53352797673,0.0012038810637741595
175.28554470144778,105455.4922068054,0.0011950877502651135
175.32000929478957,106819.91469775853,0.001210312270071639
175.35447313729657,107026.23724690604,0.001212411654929457
175.38893622882114,105963.12218153416,0.001200132637606231
175.42339856921566,108496.5529943364,0.0012285847332969176
175.4578601583326,113502.26247029324,0.0012850155537173058
175.49232099602435,120567.55152364363,0.0013647371628979531
175.52678108214334,125906.11985832646,0.0014248860871704536
175.56124041654198,124410.74458854824,0.0014076864913569812
175.5956989990727,115414.41809080046,0.0013056383152341322
175.63015682958786,110687.49737416088,0.0012519188351242342
175.66461390794,111393.45889060774,0.0012596564022487092
175.6990702339815,114068.28160578033,0.0012896507949188073
175.73352580756477,117418.01745354,0.0013272624721820938
175.7679806285423,119472.81389011328,0.0013502246232298914
175.8024346967664,117706.10938795641,0.0013299974672787112
175.8368880120897,116370.98111431501,0.0013146538004952114
175.87134057436458,120219.29604812003,0.0013578625198429391
175.90579238344344,124458.30277459431,0.0014054662722799934
175.9402434391788,124926.04425192729,0.0014104720812094219
175.97469374142307,120389.46781342081,0.001358985963063876
176.00914329002876,119003.23264719534,0.0013430748730910156
176.04359208484829,120198.42869242305,0.0013562984428126033
176.0780401257341,123600.40957504816,0.0013944129539114982
176.11248741253877,126879.45701519273,0.0014311259433465824
176.14693394511468,126558.89230919919,0.0014272310035512018
176.18137972331434,129683.279375906,0.0014621794364026413
176.21582474699025,141291.18976828453,0.0015927472711498713
176.25026901599483,138785.16426747627,0.0015641916009554023
176.28471253018066,122760.9421390067,0.0013833187239327576
176.31915528940013,107916.1914397562,0.0012158046712991187
176.35359729350577,109467.9009663788,0.0012330456688632709
176.38803854235016,114835.23082344406,0.0012932506673444019
176.42247903578567,114770.37177416205,0.0012922679174673232
176.4569187736649,124011.28916168027,0.0013960443815062582
176.4913577558403,125988.75527744947,0.0014180287479434975
176.52579598216442,114074.39094580145,0.0012836797036097618
176.56023345248974,109339.83511762341,0.0012301617370551656
176.59467016666878,103171.78550186066,0.0011605398268924637
176.62910612455408,96943.50411920894,0.001090267677303452
176.66354132599812,107993.75312051001,0.001214306716010103
176.6979757708535,134100.99128469915,0.0015075686866106441
176.73240945897268,156575.3370692684,0.0017598832233421654
176.76684239020824,159683.6535563452,0.001794470614548036
176.80127456441264,151312.12436018084,0.0017000630623399922
176.83570598143854,141010.36426184786,0.0015840094500687613
176.87013664113837,135059.0277863053,0.0015168610587834746
176.90456654336475,132254.75054588547,0.00148507686063227
176.93899568797013,128088.20972996796,0.0014380112778784528
176.97342407480724,127087.72551290257,0.0014265015499440568
177.00785170372845,136889.3994444011,0.0015362220036814907
177.04227857458645,153983.18321066423,0.0017277185542775636
177.07670468723373,146780.53793236616,0.0016465834197597628
177.11113004152284,138953.82671806982,0.0015584804252174774
177.1455546373064,155738.42805480404,0.001746393968293578
177.17997847443698,169910.49436740426,0.0019049441758848585
177.2144015527671,159525.78544761433,0.0017881690488806123
177.24882387214933,156223.71489216795,0.001750815138247034
177.2832454324364,176251.42797514336,0.001974884244798555
177.3176662334807,186658.7526793106,0.00209109154987422
177.35208627513498,183349.30270775303,0.002053617967195664
177.38650555725172,171002.68964720002,0.0019149571361700129
177.42092407968354,162403.07897640485,0.0018183024175741208
177.45534184228308,161455.74896846796,0.0018073452861310554
177.4897588449029,142994.5815280283,0.0016003794869960152
177.52417508739558,118559.73524841596,0.0013266501544244547
177.55859056961378,110016.94471753285,0.0012308201153181527
177.5930052914101,121019.73194320584,0.0013536519848544794
177.62741925263717,129988.96255394354,0.0014536945626096099
177.66183245314753,137061.63893763145,0.0015324929234942731
177.69624489279386,132949.41470768797,0.0014862260657145553
177.73065657142882,131029.8535492336,0.001464483910560909
